split_type,seed,model,representation,subset,RMSE,MAE,R2
random,0,Dummy (mean),RDKit descriptors,validation,2.231262,1.730071,-0.000927
random,0,Dummy (mean),RDKit descriptors,test,2.185159,1.772746,-0.000447
random,0,Linear,RDKit descriptors,validation,0.950915,0.745209,0.818204
random,0,Linear,RDKit descriptors,test,0.983870,0.769469,0.797183
random,0,MLP,RDKit descriptors,validation,0.639859,0.490902,0.917687
random,0,MLP,RDKit descriptors,test,0.682580,0.561636,0.902381
random,0,GCN,Molecular graph,validation,0.649750,0.515051,0.915122
random,0,GCN,Molecular graph,test,0.595239,0.462680,0.925765
random,0,GIN,Molecular graph,validation,0.667168,0.529685,0.910510
random,0,GIN,Molecular graph,test,0.672328,0.521741,0.905291
random,1,Dummy (mean),RDKit descriptors,validation,1.924322,1.501641,-0.001335
random,1,Dummy (mean),RDKit descriptors,test,2.044338,1.667951,-0.003302
random,1,Linear,RDKit descriptors,validation,0.979272,0.734266,0.740683
random,1,Linear,RDKit descriptors,test,0.998278,0.777529,0.760763
random,1,MLP,RDKit descriptors,validation,0.823677,0.633731,0.816541
random,1,MLP,RDKit descriptors,test,0.838105,0.673570,0.831375
random,1,GCN,Molecular graph,validation,0.707550,0.557024,0.864625
random,1,GCN,Molecular graph,test,0.752775,0.573698,0.863963
random,1,GIN,Molecular graph,validation,0.618777,0.455248,0.896464
random,1,GIN,Molecular graph,test,0.731753,0.564203,0.871455
random,2,Dummy (mean),RDKit descriptors,validation,1.965921,1.544807,-0.002223
random,2,Dummy (mean),RDKit descriptors,test,2.343428,1.844147,-0.025617
random,2,Linear,RDKit descriptors,validation,0.922889,0.747911,0.779133
random,2,Linear,RDKit descriptors,test,1.023035,0.793499,0.804538
random,2,MLP,RDKit descriptors,validation,0.754502,0.593765,0.852377
random,2,MLP,RDKit descriptors,test,0.756258,0.620901,0.893188
random,2,GCN,Molecular graph,validation,0.611241,0.483740,0.903115
random,2,GCN,Molecular graph,test,1.627110,0.707444,0.505558
random,2,GIN,Molecular graph,validation,0.612820,0.458461,0.902614
random,2,GIN,Molecular graph,test,0.744461,0.539032,0.896494
random,3,Dummy (mean),RDKit descriptors,validation,1.856770,1.453561,-0.016255
random,3,Dummy (mean),RDKit descriptors,test,2.216598,1.758517,-0.004585
