regime,model,case,rank,dataset_index,smiles,scaffold,actual,predicted_mean,absolute_error,residual_mean,baseline_absolute_error,nearest_train_similarity,MolWt,MolLogP,TPSA,NumRotatableBonds,AromaticAtomFraction,HeavyAtomCount,NumRings,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,FractionCSP3,NumHDonors,NumHAcceptors,MolWt_percentile,MolLogP_percentile,TPSA_percentile,NumRotatableBonds_percentile,AromaticAtomFraction_percentile,HeavyAtomCount_percentile,NumRings_percentile,NumAromaticRings_percentile,NumAliphaticRings_percentile,NumHeteroatoms_percentile,FractionCSP3_percentile,NumHDonors_percentile,NumHAcceptors_percentile
out_of_scaffold,GIN,worst,1,603,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,c1ccc(-c2ccccc2)cc1,-11.600000,-7.318600,4.281400,4.281400,8.846800,0.384600,498.662000,9.887600,0.000000,1.000000,0.545455,22.000000,2.000000,2.000000,0.000000,10.000000,0.000000,0.000000,0.000000,98.305085,100.000000,13.075061,44.430993,49.757869,78.329298,40.920097,65.859564,26.392252,95.762712,14.164649,25.786925,13.196126
out_of_scaffold,GIN,worst,2,683,Cc1cc(=O)n(c2ccccc2)n1C,O=c1cc[nH]n1-c1ccccc1,0.715000,-3.124820,3.839820,-3.839820,3.637600,0.325000,188.230000,1.484420,26.930000,1.000000,0.785714,14.000000,2.000000,2.000000,0.000000,3.000000,0.181818,0.000000,1.000000,27.845036,19.128329,39.709443,44.430993,75.786925,30.871671,40.920097,65.859564,26.392252,38.135593,46.004843,25.786925,32.566586
out_of_scaffold,GIN,worst,3,991,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,O=c1cc[nH]n1-c1ccccc1,-0.364000,-3.457480,3.093480,-3.093480,2.558600,0.303000,231.299000,1.550420,30.170000,2.000000,0.647059,17.000000,2.000000,2.000000,0.000000,4.000000,0.307692,0.000000,2.000000,43.825666,20.338983,41.646489,64.406780,61.138015,50.726392,40.920097,65.859564,26.392252,47.578692,59.079903,25.786925,45.520581
out_of_scaffold,GIN,worst,4,188,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,C1=C2CCCCC2CC2CCC3C4CC5OCCCC5OC4CC3C12,-7.320000,-4.458950,2.861050,2.861050,4.419087,0.201425,414.630000,5.508800,38.690000,0.000000,0.000000,30.000000,6.000000,0.000000,6.000000,3.000000,0.925926,1.000000,3.000000,93.462470,88.619855,48.910412,16.464891,12.469734,96.610169,98.789346,12.469734,99.394673,38.135593,92.493947,63.559322,59.079903
out_of_scaffold,GIN,worst,5,640,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)CO1,-5.293000,-2.538967,2.754033,2.754033,2.435900,0.262200,764.950000,3.247300,182.830000,7.000000,0.000000,54.000000,8.000000,0.000000,8.000000,13.000000,0.926829,5.000000,13.000000,99.757869,56.416465,98.547215,96.973366,12.469734,99.757869,99.878935,12.469734,99.878935,99.394673,92.857143,97.820823,99.394673
out_of_scaffold,GIN,best,1,481,ON=Cc1ccc(o1)N(=O)=O ,c1ccoc1,-2.190000,-2.189600,0.000400,0.000400,0.645600,0.523800,156.097000,0.995900,88.870000,2.000000,0.454545,11.000000,1.000000,1.000000,0.000000,6.000000,0.000000,1.000000,5.000000,17.675545,13.801453,86.924939,64.406780,42.009685,16.222760,8.958838,34.140436,26.392252,72.154964,14.164649,63.559322,83.292978
out_of_scaffold,GIN,best,2,265,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,c1ccc(C(Cn2cncn2)c2ccccc2)cc1,-3.370000,-3.366300,0.003700,0.003700,0.511400,0.267900,301.296000,2.492400,50.940000,4.000000,0.772727,22.000000,3.000000,3.000000,0.000000,6.000000,0.125000,1.000000,3.000000,68.038741,40.920097,60.048426,84.624697,75.544794,78.329298,74.334140,92.736077,26.392252,72.154964,37.409201,63.559322,59.079903
out_of_scaffold,GIN,best,3,951,CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23 ,O=C1Nc2cccnc2Nc2ncccc21,-4.114000,-4.108500,0.005500,0.005500,1.107000,0.652200,288.738000,2.878000,49.330000,1.000000,0.600000,20.000000,3.000000,2.000000,1.000000,6.000000,0.214286,0.000000,4.000000,61.985472,50.847458,59.079903,44.430993,55.932203,68.644068,74.334140,65.859564,67.312349,72.154964,49.031477,25.786925,72.397094
out_of_scaffold,GIN,best,4,768,c1ccc2cc3ccccc3cc2c1,c1ccc2cc3ccccc3cc2c1,-6.350000,-6.333100,0.016900,0.016900,3.621300,0.909100,178.234000,3.993000,0.000000,0.000000,1.000000,14.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.728814,72.033898,13.075061,16.464891,96.246973,30.871671,74.334140,92.736077,26.392252,6.779661,14.164649,25.786925,13.196126
out_of_scaffold,GIN,best,5,695,CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,-3.850000,-3.882700,0.032700,-0.032700,1.042367,0.418267,360.450000,1.845700,91.670000,3.000000,0.000000,26.000000,4.000000,0.000000,4.000000,5.000000,0.761905,2.000000,5.000000,82.808717,25.907990,88.135593,76.876513,12.469734,90.314770,90.435835,12.469734,94.309927,58.474576,86.440678,84.019370,83.292978
