regime,favours,rank,dataset_index,smiles,scaffold,actual,absolute_error_a,absolute_error_b,error_difference,baseline_absolute_error,nearest_train_similarity,MolWt,MolLogP,TPSA,NumRotatableBonds,AromaticAtomFraction,HeavyAtomCount,NumRings,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,FractionCSP3,NumHDonors,NumHAcceptors
out_of_scaffold,GIN,1,939,OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,O=c1oc2ccccc2cc1C(CCc1ccc(-c2ccccc2)cc1)c1ccccc1,-4.445000,4.118100,0.670900,3.447200,1.704050,0.437650,527.414000,7.183700,70.670000,6.000000,0.800000,35.000000,5.000000,5.000000,0.000000,5.000000,0.100000,2.000000,4.000000
out_of_scaffold,GIN,2,0,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,c1ccc(COC2CCCC(COC3CCCCO3)O2)cc1,-0.770000,2.167600,0.613800,1.553800,2.088600,0.367600,457.432000,-3.108020,202.320000,7.000000,0.187500,32.000000,3.000000,1.000000,2.000000,12.000000,0.650000,7.000000,12.000000
out_of_scaffold,GIN,3,219,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,-3.571000,1.848150,0.334500,1.513650,0.649700,0.200000,588.562000,1.338600,160.830000,5.000000,0.285714,42.000000,7.000000,2.000000,5.000000,13.000000,0.551724,3.000000,13.000000
out_of_scaffold,GIN,4,845,C1c2ccccc2c3cc4ccccc4cc13,c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-8.040000,2.502300,1.031100,1.471200,5.192900,0.552600,216.283000,4.411000,0.000000,0.000000,0.941176,17.000000,4.000000,3.000000,1.000000,0.000000,0.058824,0.000000,0.000000
out_of_scaffold,GIN,5,801,c1ccc2c(c1)[nH]c3ccccc32,c1ccc2c(c1)[nH]c1ccccc12,-5.270000,1.693180,0.246300,1.446880,2.347400,0.368400,167.211000,3.321100,15.790000,0.000000,1.000000,13.000000,3.000000,3.000000,0.000000,1.000000,0.000000,1.000000,0.000000
out_of_scaffold,GIN,6,555,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCC(OC7CCCCO7)CO6)CO5)CC4CCC23)CO1,-4.081000,2.991267,1.694167,1.297100,1.223900,0.257300,780.949000,2.218100,203.060000,7.000000,0.000000,55.000000,8.000000,0.000000,8.000000,14.000000,0.926829,6.000000,14.000000
out_of_scaffold,GIN,7,1039,CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,O=C1C=C2CCC3C(CCC4C3CCC43CCC(=O)O3)C2CC1,-4.173000,1.570000,0.287957,1.282043,1.283743,0.417429,416.583000,4.852300,60.440000,1.000000,0.000000,29.000000,5.000000,0.000000,5.000000,5.000000,0.791667,0.000000,5.000000
out_of_scaffold,GIN,8,390,Cc1ccc2cc3ccccc3cc2c1,c1ccc2cc3ccccc3cc2c1,-6.960000,1.381800,0.113300,1.268500,4.231300,0.842100,192.261000,4.301420,0.000000,0.000000,0.933333,15.000000,3.000000,3.000000,0.000000,0.000000,0.066667,0.000000,0.000000
out_of_scaffold,GIN,9,768,c1ccc2cc3ccccc3cc2c1,c1ccc2cc3ccccc3cc2c1,-6.350000,1.192200,0.016900,1.175300,3.621300,0.909100,178.234000,3.993000,0.000000,0.000000,1.000000,14.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
out_of_scaffold,GIN,10,1120,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,c1ccc(-c2ccccc2)cc1,-7.660000,1.913000,0.772200,1.140800,4.906800,0.476200,395.327000,7.927400,0.000000,1.000000,0.631579,19.000000,2.000000,2.000000,0.000000,7.000000,0.000000,0.000000,0.000000
out_of_scaffold,MLP,1,603,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,c1ccc(-c2ccccc2)cc1,-11.600000,0.307800,4.281400,3.973600,8.846800,0.384600,498.662000,9.887600,0.000000,1.000000,0.545455,22.000000,2.000000,2.000000,0.000000,10.000000,0.000000,0.000000,0.000000
out_of_scaffold,MLP,2,1019,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2 ,c1ccc(Cc2ccccc2)cc1,-7.200000,0.128300,2.514300,2.386000,4.341400,0.470600,320.046000,5.929000,0.000000,3.000000,0.666667,18.000000,2.000000,2.000000,0.000000,4.000000,0.142857,0.000000,0.000000
out_of_scaffold,MLP,3,450,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,c1ccc(Cc2ccccc2)cc1,-7.200000,0.128300,2.514300,2.386000,4.341400,0.470600,320.046000,5.929000,0.000000,3.000000,0.666667,18.000000,2.000000,2.000000,0.000000,4.000000,0.142857,0.000000,0.000000
out_of_scaffold,MLP,4,634,C1=Cc2cccc3cccc1c23,C1=Cc2cccc3cccc1c23,-3.960000,0.026500,2.296100,2.269600,0.953000,0.473700,152.196000,3.323600,0.000000,0.000000,0.833333,12.000000,3.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
out_of_scaffold,MLP,5,935,c2ccc1NCCc1c2 ,c1ccc2c(c1)CCN2,-1.040000,0.142200,2.390200,2.248000,1.688700,0.391300,119.167000,1.654600,12.030000,0.000000,0.666667,9.000000,2.000000,1.000000,1.000000,1.000000,0.250000,1.000000,1.000000
out_of_scaffold,MLP,6,482,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1,-8.003000,0.003800,2.156400,2.152600,5.144400,0.485300,502.920000,7.395680,71.350000,8.000000,0.514286,35.000000,3.000000,3.000000,0.000000,9.000000,0.230769,1.000000,5.000000
out_of_scaffold,MLP,7,92,c1ccc2c(c1)c3cccc4cccc2c34,c1ccc2c(c1)-c1cccc3cccc-2c13,-6.000000,0.169900,2.294967,2.125067,3.109717,0.736800,202.256000,4.487200,0.000000,0.000000,1.000000,16.000000,4.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
out_of_scaffold,MLP,8,706,c1ccoc1,c1ccoc1,-0.820000,0.173600,2.098600,1.925000,2.015600,0.222200,68.075000,1.279600,13.140000,0.000000,1.000000,5.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000
out_of_scaffold,MLP,9,54,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,c1ccc(-c2ccccc2)cc1,-8.600000,0.216500,2.138100,1.921600,5.846800,0.500000,360.882000,7.274000,0.000000,1.000000,0.666667,18.000000,2.000000,2.000000,0.000000,6.000000,0.000000,0.000000,0.000000
out_of_scaffold,MLP,10,855,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,c1ccc(Cc2ccccc2)cc1,-7.150000,0.391100,2.275700,1.884600,4.291400,0.450000,354.491000,6.495500,0.000000,2.000000,0.631579,19.000000,2.000000,2.000000,0.000000,5.000000,0.142857,0.000000,0.000000
