dataset_index,smiles,MolWt,MolLogP,TPSA,NumRotatableBonds,AromaticAtomFraction,HeavyAtomCount,NumRings,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,FractionCSP3,NumHDonors,NumHAcceptors
0,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,457.432000,-3.108020,202.320000,7.000000,0.187500,32.000000,3.000000,1.000000,2.000000,12.000000,0.650000,7.000000,12.000000
1,Cc1occc1C(=O)Nc2ccccc2,201.225000,2.840320,42.240000,2.000000,0.733333,15.000000,2.000000,2.000000,0.000000,3.000000,0.083333,1.000000,2.000000
2,CC(C)=CCCC(C)=CC(=O),152.237000,2.878000,17.070000,4.000000,0.000000,11.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,1.000000
3,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,278.354000,6.299400,0.000000,0.000000,1.000000,22.000000,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,c1ccsc1,84.143000,1.748100,0.000000,0.000000,1.000000,5.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000
5,c2ccc1scnc1c2 ,135.191000,2.296300,12.890000,0.000000,1.000000,9.000000,2.000000,2.000000,0.000000,2.000000,0.000000,0.000000,2.000000
6,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,326.437000,6.620600,0.000000,1.000000,0.705882,17.000000,2.000000,2.000000,0.000000,5.000000,0.000000,0.000000,0.000000
7,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,272.388000,3.609200,40.460000,0.000000,0.300000,20.000000,4.000000,1.000000,3.000000,2.000000,0.666667,2.000000,2.000000
9,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,394.423000,3.703300,63.220000,3.000000,0.413793,29.000000,5.000000,2.000000,3.000000,6.000000,0.347826,0.000000,6.000000
10,O=C1CCCN1,85.106000,-0.103600,29.100000,0.000000,0.000000,6.000000,1.000000,0.000000,1.000000,2.000000,0.750000,1.000000,1.000000
11,Clc1ccc2ccccc2c1,162.619000,3.493200,0.000000,0.000000,0.909091,11.000000,2.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
12,CCCC=C,70.135000,1.972500,0.000000,2.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,0.000000
13,CCC1(C(=O)NCNC1=O)c2ccccc2,218.256000,0.537900,58.200000,2.000000,0.375000,16.000000,2.000000,1.000000,1.000000,4.000000,0.333333,2.000000,2.000000
14,CCCCCCCCCCCCCC,198.394000,5.707400,0.000000,11.000000,0.000000,14.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
15,CC(C)Cl,78.542000,1.633600,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000
16,CCC(C)CO,88.150000,1.024800,20.230000,2.000000,0.000000,6.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
18,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,304.352000,3.584720,53.470000,7.000000,0.315789,19.000000,1.000000,1.000000,0.000000,7.000000,0.666667,0.000000,6.000000
20,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,326.437000,6.620600,0.000000,1.000000,0.705882,17.000000,2.000000,2.000000,0.000000,5.000000,0.000000,0.000000,0.000000
21,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,234.299000,1.530500,54.860000,1.000000,0.352941,17.000000,3.000000,1.000000,2.000000,4.000000,0.692308,1.000000,2.000000
22,CCOP(=S)(OCC)SCSCC,260.386000,3.727700,18.460000,8.000000,0.000000,13.000000,0.000000,0.000000,0.000000,6.000000,1.000000,0.000000,5.000000
26,Cn1c(=O)n(C)c2nc[nH]c2c1=O,180.167000,-1.039700,72.680000,0.000000,0.692308,13.000000,2.000000,2.000000,0.000000,6.000000,0.285714,1.000000,3.000000
28,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,318.030000,6.187900,0.000000,2.000000,0.666667,18.000000,2.000000,2.000000,0.000000,4.000000,0.000000,0.000000,0.000000
29,CCCCCCCC(=O)OC,158.241000,2.519900,26.300000,6.000000,0.000000,11.000000,0.000000,0.000000,0.000000,2.000000,0.888889,0.000000,2.000000
30,CCc1ccc(CC)cc1,134.222000,2.811400,0.000000,2.000000,0.600000,10.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.000000,0.000000
32,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,300.314000,3.784220,76.660000,3.000000,0.545455,22.000000,2.000000,2.000000,0.000000,6.000000,0.125000,2.000000,4.000000
34,Cc1cccc2c1Cc3ccccc32,180.250000,3.566220,0.000000,0.000000,0.857143,14.000000,3.000000,2.000000,1.000000,0.000000,0.142857,0.000000,0.000000
36,N(c1ccccc1)c2ccccc2,169.227000,3.430200,12.030000,2.000000,0.923077,13.000000,2.000000,2.000000,0.000000,1.000000,0.000000,1.000000,1.000000
37,CN(C)C(=O)SCCCCOc1ccccc1,253.367000,3.260400,29.540000,6.000000,0.352941,17.000000,1.000000,1.000000,0.000000,4.000000,0.461538,0.000000,3.000000
38,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,353.490000,4.198300,38.770000,9.000000,0.000000,21.000000,1.000000,0.000000,1.000000,7.000000,0.928571,0.000000,5.000000
40,c1c(Cl)cccc1c2ccccc2,188.657000,4.007000,0.000000,1.000000,0.923077,13.000000,2.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
41,OCCCC=C,86.134000,0.944900,20.230000,3.000000,0.000000,6.000000,0.000000,0.000000,0.000000,1.000000,0.600000,1.000000,1.000000
42,O=C2NC(=O)C1(CCC1)C(=O)N2,168.152000,-0.477300,75.270000,0.000000,0.000000,12.000000,2.000000,0.000000,2.000000,5.000000,0.571429,2.000000,3.000000
43,CC(C)C1CCC(C)CC1O ,156.269000,2.439500,20.230000,1.000000,0.000000,11.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
46,CC(=O)Nc1ccc(Br)cc1,214.062000,2.407500,29.100000,1.000000,0.545455,11.000000,1.000000,1.000000,0.000000,3.000000,0.125000,1.000000,1.000000
47,c1ccccc1n2ncc(N)c(Br)c2(=O),266.098000,1.577200,60.910000,1.000000,0.800000,15.000000,2.000000,2.000000,0.000000,5.000000,0.000000,1.000000,3.000000
48,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,346.339000,2.175600,107.770000,4.000000,0.240000,25.000000,2.000000,1.000000,1.000000,8.000000,0.294118,1.000000,7.000000
49,c2c(C)cc1nc(C)ccc1c2 ,157.216000,2.851640,12.890000,0.000000,0.833333,12.000000,2.000000,2.000000,0.000000,1.000000,0.181818,0.000000,1.000000
51,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,236.271000,1.249200,75.270000,2.000000,0.000000,17.000000,2.000000,0.000000,2.000000,5.000000,0.583333,2.000000,3.000000
54,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,360.882000,7.274000,0.000000,1.000000,0.666667,18.000000,2.000000,2.000000,0.000000,6.000000,0.000000,0.000000,0.000000
55,Cc1ccccc1O,108.140000,1.700620,20.230000,0.000000,0.750000,8.000000,1.000000,1.000000,0.000000,1.000000,0.142857,1.000000,1.000000
56,CC(C)CCC(C)(C)C,128.259000,3.468700,0.000000,2.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
57,Cc1ccc(C)c2ccccc12,156.228000,3.456640,0.000000,0.000000,0.833333,12.000000,2.000000,2.000000,0.000000,0.000000,0.166667,0.000000,0.000000
58,Cc1cc2c3ccccc3ccc2c4ccccc14,242.321000,5.454620,0.000000,0.000000,0.947368,19.000000,4.000000,4.000000,0.000000,0.000000,0.052632,0.000000,0.000000
59,CCCC(=O)C,86.134000,1.375500,17.070000,2.000000,0.000000,6.000000,0.000000,0.000000,0.000000,1.000000,0.800000,0.000000,1.000000
60,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,429.772000,8.580800,0.000000,1.000000,0.600000,20.000000,2.000000,2.000000,0.000000,8.000000,0.000000,0.000000,0.000000
62,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,394.439000,0.620500,115.060000,2.000000,0.000000,28.000000,4.000000,0.000000,4.000000,7.000000,0.714286,4.000000,6.000000
64,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,260.253000,1.107700,90.060000,5.000000,0.578947,19.000000,2.000000,2.000000,0.000000,7.000000,0.166667,1.000000,4.000000
65,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,366.844000,5.505100,54.370000,2.000000,0.461538,26.000000,4.000000,2.000000,2.000000,4.000000,0.272727,1.000000,3.000000
66,CCNc1nc(Cl)nc(n1)N(CC)CC,229.715000,1.803000,53.940000,5.000000,0.400000,15.000000,1.000000,1.000000,0.000000,6.000000,0.666667,1.000000,5.000000
69,Clc1ccccc1c2ccccc2Cl ,223.102000,4.660400,0.000000,1.000000,0.857143,14.000000,2.000000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000
71,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,284.098000,4.693900,52.370000,3.000000,0.666667,18.000000,2.000000,2.000000,0.000000,6.000000,0.000000,0.000000,3.000000
72,CC1(C)C2CCC1(C)C(=O)C2,152.237000,2.401700,17.070000,0.000000,0.000000,11.000000,2.000000,0.000000,2.000000,1.000000,0.900000,0.000000,1.000000
73,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,244.250000,0.866500,75.270000,3.000000,0.333333,18.000000,2.000000,1.000000,1.000000,5.000000,0.153846,2.000000,3.000000
76,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,380.444000,3.563000,75.710000,8.000000,0.428571,28.000000,3.000000,2.000000,1.000000,6.000000,0.318182,1.000000,4.000000
77,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,257.547000,5.313800,0.000000,1.000000,0.800000,15.000000,2.000000,2.000000,0.000000,3.000000,0.000000,0.000000,0.000000
79,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,342.226000,3.653400,49.170000,5.000000,0.500000,22.000000,3.000000,2.000000,1.000000,7.000000,0.466667,0.000000,4.000000
81,Cc1ncnc2nccnc12,146.153000,0.728220,51.560000,0.000000,0.909091,11.000000,2.000000,2.000000,0.000000,4.000000,0.142857,0.000000,4.000000
85,ClC(Cl)(Cl)C(Cl)(Cl)Cl,236.740000,3.726800,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000,0.000000,6.000000,1.000000,0.000000,0.000000
86,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,451.469000,6.627980,68.550000,9.000000,0.545455,33.000000,3.000000,3.000000,0.000000,7.000000,0.230769,0.000000,5.000000
87,CCCN(=O)=O,89.094000,0.673100,43.140000,2.000000,0.000000,6.000000,0.000000,0.000000,0.000000,3.000000,1.000000,0.000000,2.000000
88,CC(C)C1CCC(C)CC1=O,154.253000,2.647700,17.070000,1.000000,0.000000,11.000000,1.000000,0.000000,1.000000,1.000000,0.900000,0.000000,1.000000
91,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,254.355000,1.516000,58.200000,5.000000,0.000000,17.000000,1.000000,0.000000,1.000000,5.000000,0.583333,2.000000,3.000000
92,c1ccc2c(c1)c3cccc4cccc2c34,202.256000,4.487200,0.000000,0.000000,1.000000,16.000000,4.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
94,Cc1cc(C)c2ccccc2c1,156.228000,3.456640,0.000000,0.000000,0.833333,12.000000,2.000000,2.000000,0.000000,0.000000,0.166667,0.000000,0.000000
95,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,268.356000,4.828600,40.460000,4.000000,0.600000,20.000000,2.000000,2.000000,0.000000,2.000000,0.222222,2.000000,2.000000
97,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,291.992000,5.967200,0.000000,1.000000,0.750000,16.000000,2.000000,2.000000,0.000000,4.000000,0.000000,0.000000,0.000000
98,C1OC1c2ccccc2 ,120.151000,1.757900,12.530000,1.000000,0.666667,9.000000,2.000000,1.000000,1.000000,1.000000,0.250000,0.000000,1.000000
99,CC(C)c1ccccc1,120.195000,2.810000,0.000000,1.000000,0.666667,9.000000,1.000000,1.000000,0.000000,0.000000,0.333333,0.000000,0.000000
100,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,330.468000,3.695900,54.370000,2.000000,0.000000,24.000000,4.000000,0.000000,4.000000,3.000000,0.809524,1.000000,3.000000
101,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,267.930000,4.243400,25.780000,0.000000,0.714286,14.000000,2.000000,2.000000,0.000000,6.000000,0.000000,0.000000,2.000000
102,C1OC(O)C(O)C(O)C1O,150.130000,-2.582300,90.150000,0.000000,0.000000,10.000000,1.000000,0.000000,1.000000,5.000000,1.000000,4.000000,5.000000
104,CCc1cccc2ccccc12,156.228000,3.402200,0.000000,1.000000,0.833333,12.000000,2.000000,2.000000,0.000000,0.000000,0.166667,0.000000,0.000000
109,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,268.229000,-1.856600,133.750000,2.000000,0.473684,19.000000,3.000000,2.000000,1.000000,9.000000,0.500000,4.000000,8.000000
110,Oc1c(I)cc(C#N)cc1I,370.915000,2.473080,44.020000,0.000000,0.545455,11.000000,1.000000,1.000000,0.000000,4.000000,0.000000,1.000000,2.000000
111,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,327.123000,3.859500,92.470000,3.000000,0.571429,21.000000,2.000000,2.000000,0.000000,8.000000,0.000000,2.000000,4.000000
