regime,model,property,property_bin,bin_index,molecules,property_median,actual_median,mean_absolute_error,baseline_mean_absolute_error,normalized_mean_absolute_error,mean_residual
in_domain,Dummy (mean),MolWt,"(16.041999999999998, 116.174]",0,118,98.167000,-1.050000,2.103767,2.103767,1.000000,-1.754932
in_domain,Dummy (mean),MolWt,"(116.174, 179.689]",1,117,145.161000,-2.310000,1.200195,1.200195,1.000000,-0.563445
in_domain,Dummy (mean),MolWt,"(179.689, 271.382]",2,117,218.205000,-3.220000,1.519386,1.519386,1.000000,0.497810
in_domain,Dummy (mean),MolWt,"(271.382, 780.949]",3,118,332.403000,-4.689000,2.033105,2.033105,1.000000,1.790052
in_domain,Linear,MolWt,"(16.041999999999998, 116.174]",0,118,98.167000,-1.050000,0.864096,2.103767,0.410737,-0.124499
in_domain,Linear,MolWt,"(116.174, 179.689]",1,117,145.161000,-2.310000,0.663741,1.200195,0.553027,0.096545
in_domain,Linear,MolWt,"(179.689, 271.382]",2,117,218.205000,-3.220000,0.832480,1.519386,0.547906,0.334402
in_domain,Linear,MolWt,"(271.382, 780.949]",3,118,332.403000,-4.689000,0.690378,2.033105,0.339568,-0.086230
in_domain,MLP,MolWt,"(16.041999999999998, 116.174]",0,118,98.167000,-1.050000,0.491728,2.103767,0.233737,0.073285
in_domain,MLP,MolWt,"(116.174, 179.689]",1,117,145.161000,-2.310000,0.511212,1.200195,0.425941,0.112366
in_domain,MLP,MolWt,"(179.689, 271.382]",2,117,218.205000,-3.220000,0.671715,1.519386,0.442096,0.067805
in_domain,MLP,MolWt,"(271.382, 780.949]",3,118,332.403000,-4.689000,0.727360,2.033105,0.357758,-0.012044
in_domain,GCN,MolWt,"(16.041999999999998, 116.174]",0,118,98.167000,-1.050000,0.613743,2.103767,0.291735,-0.290920
in_domain,GCN,MolWt,"(116.174, 179.689]",1,117,145.161000,-2.310000,0.402006,1.200195,0.334950,-0.096974
in_domain,GCN,MolWt,"(179.689, 271.382]",2,117,218.205000,-3.220000,0.552869,1.519386,0.363877,0.037958
in_domain,GCN,MolWt,"(271.382, 780.949]",3,118,332.403000,-4.689000,0.852308,2.033105,0.419215,0.494012
in_domain,GIN,MolWt,"(16.041999999999998, 116.174]",0,118,98.167000,-1.050000,0.382768,2.103767,0.181944,-0.113714
in_domain,GIN,MolWt,"(116.174, 179.689]",1,117,145.161000,-2.310000,0.422268,1.200195,0.351832,-0.105275
in_domain,GIN,MolWt,"(179.689, 271.382]",2,117,218.205000,-3.220000,0.566690,1.519386,0.372973,0.028678
in_domain,GIN,MolWt,"(271.382, 780.949]",3,118,332.403000,-4.689000,0.699089,2.033105,0.343853,0.278695
out_of_scaffold,Dummy (mean),MolWt,"(58.079, 180.167]",0,105,142.201000,-2.530000,1.360091,1.360091,1.000000,-0.265798
out_of_scaffold,Dummy (mean),MolWt,"(180.167, 254.293]",1,102,216.775500,-3.231500,1.515420,1.515420,1.000000,0.880785
out_of_scaffold,Dummy (mean),MolWt,"(254.293, 328.843]",2,103,290.323000,-4.160000,1.866156,1.866156,1.000000,1.656991
out_of_scaffold,Dummy (mean),MolWt,"(328.843, 780.949]",3,103,372.808000,-5.184000,2.668965,2.668965,1.000000,2.460570
out_of_scaffold,Linear,MolWt,"(58.079, 180.167]",0,105,142.201000,-2.530000,1.023301,1.360091,0.752377,0.414001
out_of_scaffold,Linear,MolWt,"(180.167, 254.293]",1,102,216.775500,-3.231500,0.928464,1.515420,0.612677,0.554879
out_of_scaffold,Linear,MolWt,"(254.293, 328.843]",2,103,290.323000,-4.160000,0.714717,1.866156,0.382989,0.187923
out_of_scaffold,Linear,MolWt,"(328.843, 780.949]",3,103,372.808000,-5.184000,0.765435,2.668965,0.286791,-0.045919
out_of_scaffold,MLP,MolWt,"(58.079, 180.167]",0,105,142.201000,-2.530000,0.640200,1.360091,0.470704,0.265432
out_of_scaffold,MLP,MolWt,"(180.167, 254.293]",1,102,216.775500,-3.231500,0.731488,1.515420,0.482696,0.309057
out_of_scaffold,MLP,MolWt,"(254.293, 328.843]",2,103,290.323000,-4.160000,0.548411,1.866156,0.293872,-0.045189
out_of_scaffold,MLP,MolWt,"(328.843, 780.949]",3,103,372.808000,-5.184000,0.781821,2.668965,0.292930,-0.137829
out_of_scaffold,GCN,MolWt,"(58.079, 180.167]",0,105,142.201000,-2.530000,0.954255,1.360091,0.701611,-0.240409
out_of_scaffold,GCN,MolWt,"(180.167, 254.293]",1,102,216.775500,-3.231500,0.840142,1.515420,0.554395,0.025706
out_of_scaffold,GCN,MolWt,"(254.293, 328.843]",2,103,290.323000,-4.160000,0.874200,1.866156,0.468450,0.345602
out_of_scaffold,GCN,MolWt,"(328.843, 780.949]",3,103,372.808000,-5.184000,1.136689,2.668965,0.425891,0.732487
out_of_scaffold,GIN,MolWt,"(58.079, 180.167]",0,105,142.201000,-2.530000,0.853272,1.360091,0.627364,-0.144320
out_of_scaffold,GIN,MolWt,"(180.167, 254.293]",1,102,216.775500,-3.231500,0.810234,1.515420,0.534660,-0.120266
out_of_scaffold,GIN,MolWt,"(254.293, 328.843]",2,103,290.323000,-4.160000,0.765112,1.866156,0.409994,0.221994
out_of_scaffold,GIN,MolWt,"(328.843, 780.949]",3,103,372.808000,-5.184000,1.001753,2.668965,0.375334,0.582402
in_domain,Dummy (mean),MolLogP,"(-5.397, 1.415]",0,120,0.732010,-0.835000,2.156196,2.156196,1.000000,-2.106359
in_domain,Dummy (mean),MolLogP,"(1.415, 2.301]",1,115,1.813900,-1.970000,1.228277,1.228277,1.000000,-0.917530
in_domain,Dummy (mean),MolLogP,"(2.301, 3.281]",2,117,2.788880,-3.430000,0.783515,0.783515,1.000000,0.381877
in_domain,Dummy (mean),MolLogP,"(3.281, 8.581]",3,118,4.300810,-5.435000,2.666739,2.666739,1.000000,2.627664
in_domain,Linear,MolLogP,"(-5.397, 1.415]",0,120,0.732010,-0.835000,0.744448,2.156196,0.345260,-0.095575
in_domain,Linear,MolLogP,"(1.415, 2.301]",1,115,1.813900,-1.970000,0.662963,1.228277,0.539750,-0.231499
in_domain,Linear,MolLogP,"(2.301, 3.281]",2,117,2.788880,-3.430000,0.676463,0.783515,0.863369,0.137979
in_domain,Linear,MolLogP,"(3.281, 8.581]",3,118,4.300810,-5.435000,0.964111,2.666739,0.361532,0.402563
in_domain,MLP,MolLogP,"(-5.397, 1.415]",0,120,0.732010,-0.835000,0.552593,2.156196,0.256281,-0.037537
in_domain,MLP,MolLogP,"(1.415, 2.301]",1,115,1.813900,-1.970000,0.599775,1.228277,0.488306,0.029379
in_domain,MLP,MolLogP,"(2.301, 3.281]",2,117,2.788880,-3.430000,0.521424,0.783515,0.665493,0.060086
in_domain,MLP,MolLogP,"(3.281, 8.581]",3,118,4.300810,-5.435000,0.728499,2.666739,0.273180,0.189850
in_domain,GCN,MolLogP,"(-5.397, 1.415]",0,120,0.732010,-0.835000,0.610640,2.156196,0.283202,-0.270922
in_domain,GCN,MolLogP,"(1.415, 2.301]",1,115,1.813900,-1.970000,0.512481,1.228277,0.417235,-0.068373
in_domain,GCN,MolLogP,"(2.301, 3.281]",2,117,2.788880,-3.430000,0.524480,0.783515,0.669394,0.077010
in_domain,GCN,MolLogP,"(3.281, 8.581]",3,118,4.300810,-5.435000,0.772357,2.666739,0.289626,0.410368
in_domain,GIN,MolLogP,"(-5.397, 1.415]",0,120,0.732010,-0.835000,0.491416,2.156196,0.227909,-0.172933
in_domain,GIN,MolLogP,"(1.415, 2.301]",1,115,1.813900,-1.970000,0.459742,1.228277,0.374298,-0.047342
in_domain,GIN,MolLogP,"(2.301, 3.281]",2,117,2.788880,-3.430000,0.477273,0.783515,0.609143,0.043685
in_domain,GIN,MolLogP,"(3.281, 8.581]",3,118,4.300810,-5.435000,0.641406,2.666739,0.240521,0.267722
out_of_scaffold,Dummy (mean),MolLogP,"(-7.572, 1.828]",0,104,0.835400,-2.269500,1.249663,1.249663,1.000000,-0.828047
out_of_scaffold,Dummy (mean),MolLogP,"(1.828, 2.852]",1,103,2.401700,-3.140000,0.846153,0.846153,1.000000,0.242808
out_of_scaffold,Dummy (mean),MolLogP,"(2.852, 4.221]",2,103,3.475500,-4.314000,1.503499,1.503499,1.000000,1.501234
out_of_scaffold,Dummy (mean),MolLogP,"(4.221, 9.888]",3,103,5.313800,-6.560000,3.810881,3.810881,1.000000,3.810881
out_of_scaffold,Linear,MolLogP,"(-7.572, 1.828]",0,104,0.835400,-2.269500,1.156242,1.249663,0.925243,0.687517
out_of_scaffold,Linear,MolLogP,"(1.828, 2.852]",1,103,2.401700,-3.140000,0.677047,0.846153,0.800148,-0.008494
out_of_scaffold,Linear,MolLogP,"(2.852, 4.221]",2,103,3.475500,-4.314000,0.719746,1.503499,0.478714,0.150474
out_of_scaffold,Linear,MolLogP,"(4.221, 9.888]",3,103,5.313800,-6.560000,0.878511,3.810881,0.230527,0.277363
out_of_scaffold,MLP,MolLogP,"(-7.572, 1.828]",0,104,0.835400,-2.269500,0.767325,1.249663,0.614025,0.253035
out_of_scaffold,MLP,MolLogP,"(1.828, 2.852]",1,103,2.401700,-3.140000,0.653636,0.846153,0.772480,0.127880
out_of_scaffold,MLP,MolLogP,"(2.852, 4.221]",2,103,3.475500,-4.314000,0.588637,1.503499,0.391511,0.077691
out_of_scaffold,MLP,MolLogP,"(4.221, 9.888]",3,103,5.313800,-6.560000,0.690201,3.810881,0.181113,-0.067438
out_of_scaffold,GCN,MolLogP,"(-7.572, 1.828]",0,104,0.835400,-2.269500,0.839559,1.249663,0.671828,0.059321
out_of_scaffold,GCN,MolLogP,"(1.828, 2.852]",1,103,2.401700,-3.140000,0.898498,0.846153,1.061863,-0.169540
out_of_scaffold,GCN,MolLogP,"(2.852, 4.221]",2,103,3.475500,-4.314000,0.814740,1.503499,0.541896,0.009288
out_of_scaffold,GCN,MolLogP,"(4.221, 9.888]",3,103,5.313800,-6.560000,1.254710,3.810881,0.329244,0.958823
out_of_scaffold,GIN,MolLogP,"(-7.572, 1.828]",0,104,0.835400,-2.269500,0.820837,1.249663,0.656847,0.044888
out_of_scaffold,GIN,MolLogP,"(1.828, 2.852]",1,103,2.401700,-3.140000,0.824651,0.846153,0.974590,-0.175516
out_of_scaffold,GIN,MolLogP,"(2.852, 4.221]",2,103,3.475500,-4.314000,0.725290,1.503499,0.482401,-0.049771
out_of_scaffold,GIN,MolLogP,"(4.221, 9.888]",3,103,5.313800,-6.560000,1.060326,3.810881,0.278236,0.718137
in_domain,Dummy (mean),TPSA,"(-0.001, 26.165]",0,235,0.000000,-2.740000,1.920005,1.920005,1.000000,0.129775
in_domain,Dummy (mean),TPSA,"(26.165, 56.955]",1,117,38.910000,-2.843000,1.463300,1.463300,1.000000,-0.285755
in_domain,Dummy (mean),TPSA,"(56.955, 203.06]",2,118,75.270000,-3.054000,1.558767,1.558767,1.000000,-0.005075
in_domain,Linear,TPSA,"(-0.001, 26.165]",0,235,0.000000,-2.740000,0.871056,1.920005,0.453674,0.172605
in_domain,Linear,TPSA,"(26.165, 56.955]",1,117,38.910000,-2.843000,0.644024,1.463300,0.440117,-0.322120
in_domain,Linear,TPSA,"(56.955, 203.06]",2,118,75.270000,-3.054000,0.664719,1.558767,0.426439,0.192207
in_domain,MLP,TPSA,"(-0.001, 26.165]",0,235,0.000000,-2.740000,0.520433,1.920005,0.271058,0.044560
in_domain,MLP,TPSA,"(26.165, 56.955]",1,117,38.910000,-2.843000,0.677034,1.463300,0.462676,0.112605
in_domain,MLP,TPSA,"(56.955, 203.06]",2,118,75.270000,-3.054000,0.684238,1.558767,0.438961,0.039492
in_domain,GCN,TPSA,"(-0.001, 26.165]",0,235,0.000000,-2.740000,0.570079,1.920005,0.296916,-0.130359
in_domain,GCN,TPSA,"(26.165, 56.955]",1,117,38.910000,-2.843000,0.543809,1.463300,0.371632,0.088189
in_domain,GCN,TPSA,"(56.955, 203.06]",2,118,75.270000,-3.054000,0.738305,1.558767,0.473647,0.316749
in_domain,GIN,TPSA,"(-0.001, 26.165]",0,235,0.000000,-2.740000,0.438694,1.920005,0.228486,-0.049411
in_domain,GIN,TPSA,"(26.165, 56.955]",1,117,38.910000,-2.843000,0.556877,1.463300,0.380562,0.020925
in_domain,GIN,TPSA,"(56.955, 203.06]",2,118,75.270000,-3.054000,0.636606,1.558767,0.408404,0.166690
out_of_scaffold,Dummy (mean),TPSA,"(-0.001, 40.46]",0,210,0.000000,-4.410000,2.350940,2.350940,1.000000,1.633611
out_of_scaffold,Dummy (mean),TPSA,"(40.46, 67.51]",1,101,55.240000,-3.893000,1.474517,1.474517,1.000000,1.112862
out_of_scaffold,Dummy (mean),TPSA,"(67.51, 268.68]",2,102,90.865000,-3.243000,1.194865,1.194865,1.000000,0.299832
out_of_scaffold,Linear,TPSA,"(-0.001, 40.46]",0,210,0.000000,-4.410000,0.837576,2.350940,0.356273,0.236799
out_of_scaffold,Linear,TPSA,"(40.46, 67.51]",1,101,55.240000,-3.893000,0.739896,1.474517,0.501788,0.068053
out_of_scaffold,Linear,TPSA,"(67.51, 268.68]",2,102,90.865000,-3.243000,1.019462,1.194865,0.853203,0.569540
out_of_scaffold,MLP,TPSA,"(-0.001, 40.46]",0,210,0.000000,-4.410000,0.602164,2.350940,0.256137,-0.006095
out_of_scaffold,MLP,TPSA,"(40.46, 67.51]",1,101,55.240000,-3.893000,0.806991,1.474517,0.547292,0.364831
out_of_scaffold,MLP,TPSA,"(67.51, 268.68]",2,102,90.865000,-3.243000,0.694962,1.194865,0.581624,0.048778
out_of_scaffold,GCN,TPSA,"(-0.001, 40.46]",0,210,0.000000,-4.410000,1.029740,2.350940,0.438012,0.100995
out_of_scaffold,GCN,TPSA,"(40.46, 67.51]",1,101,55.240000,-3.893000,0.972086,1.474517,0.659257,0.381368
out_of_scaffold,GCN,TPSA,"(67.51, 268.68]",2,102,90.865000,-3.243000,0.770459,1.194865,0.644809,0.281324
out_of_scaffold,GIN,TPSA,"(-0.001, 40.46]",0,210,0.000000,-4.410000,0.921166,2.350940,0.391829,0.066162
out_of_scaffold,GIN,TPSA,"(40.46, 67.51]",1,101,55.240000,-3.893000,0.812264,1.474517,0.550868,0.151371
out_of_scaffold,GIN,TPSA,"(67.51, 268.68]",2,102,90.865000,-3.243000,0.771972,1.194865,0.646075,0.257349
in_domain,Dummy (mean),NumRotatableBonds,"(-0.001, 1.0]",0,240,0.000000,-2.535000,1.896417,1.896417,1.000000,-0.223623
in_domain,Dummy (mean),NumRotatableBonds,"(1.0, 3.0]",1,115,2.000000,-2.820000,1.348228,1.348228,1.000000,-0.344577
