regime,model,property,molecules,spearman,ci_low,ci_high,excludes_zero,baseline_spearman,partial_spearman,trained_on
in_domain,Dummy (mean),MolWt,470,-0.054520,-0.154176,0.042155,False,-0.054520,-0.011265,True
in_domain,Dummy (mean),MolLogP,470,0.046111,-0.068209,0.154616,False,0.046111,-0.026132,True
in_domain,Dummy (mean),TPSA,470,-0.117104,-0.204784,-0.024824,True,-0.117104,0.013590,True
in_domain,Dummy (mean),NumRotatableBonds,470,-0.072528,-0.164222,0.020026,False,-0.072528,-0.004749,True
in_domain,Dummy (mean),AromaticAtomFraction,470,-0.005019,-0.091300,0.080643,False,-0.005019,-0.008878,True
in_domain,Dummy (mean),HeavyAtomCount,470,-0.027771,-0.124019,0.066071,False,-0.027771,-0.015850,False
in_domain,Dummy (mean),NumRings,470,0.003005,-0.090355,0.094591,False,0.003005,-0.012336,False
in_domain,Dummy (mean),NumAromaticRings,470,0.020455,-0.073548,0.111989,False,0.020455,-0.016616,False
in_domain,Dummy (mean),NumAliphaticRings,470,-0.031480,-0.123461,0.056326,False,-0.031480,0.000252,False
in_domain,Dummy (mean),NumHeteroatoms,470,-0.068198,-0.163251,0.028738,False,-0.068198,0.015072,False
in_domain,Dummy (mean),FractionCSP3,470,0.017524,-0.074890,0.112681,False,0.017524,-0.007471,False
in_domain,Dummy (mean),NumHDonors,470,-0.095836,-0.182834,-0.008465,True,-0.095836,0.026720,False
in_domain,Dummy (mean),NumHAcceptors,470,-0.096590,-0.183948,-0.001403,True,-0.096590,0.007447,False
in_domain,Linear,MolWt,470,-0.058981,-0.145361,0.030748,False,-0.054520,-0.045457,True
in_domain,Linear,MolLogP,470,0.094189,0.004483,0.185838,True,0.046111,0.082481,True
in_domain,Linear,TPSA,470,-0.107460,-0.199211,-0.014466,True,-0.117104,-0.073707,True
in_domain,Linear,NumRotatableBonds,470,-0.084248,-0.176109,0.008486,False,-0.072528,-0.068699,True
in_domain,Linear,AromaticAtomFraction,470,0.028238,-0.066965,0.124179,False,-0.005019,0.032193,True
in_domain,Linear,HeavyAtomCount,470,0.008899,-0.076995,0.094350,False,-0.027771,0.017262,False
in_domain,Linear,NumRings,470,0.055470,-0.036070,0.144050,False,0.003005,0.057406,False
in_domain,Linear,NumAromaticRings,470,0.024144,-0.073157,0.114571,False,0.020455,0.019460,False
in_domain,Linear,NumAliphaticRings,470,0.080608,-0.005969,0.169544,False,-0.031480,0.095116,False
in_domain,Linear,NumHeteroatoms,470,-0.201160,-0.294461,-0.110205,True,-0.068198,-0.189441,False
in_domain,Linear,FractionCSP3,470,0.026484,-0.066729,0.121894,False,0.017524,0.020890,False
in_domain,Linear,NumHDonors,470,-0.009096,-0.096524,0.080476,False,-0.095836,0.022556,False
in_domain,Linear,NumHAcceptors,470,-0.117050,-0.209840,-0.024903,True,-0.096590,-0.090426,False
in_domain,MLP,MolWt,470,0.226832,0.138304,0.312025,True,-0.054520,0.238811,True
in_domain,MLP,MolLogP,470,0.132343,0.035202,0.221553,True,0.046111,0.138157,True
in_domain,MLP,TPSA,470,0.147849,0.058309,0.237815,True,-0.117104,0.163567,True
in_domain,MLP,NumRotatableBonds,470,0.088392,-0.008780,0.186850,False,-0.072528,0.105022,True
in_domain,MLP,AromaticAtomFraction,470,0.021871,-0.073265,0.112456,False,-0.005019,0.021445,True
in_domain,MLP,HeavyAtomCount,470,0.242956,0.158539,0.325745,True,-0.027771,0.251837,False
in_domain,MLP,NumRings,470,0.143256,0.056169,0.227175,True,0.003005,0.144161,False
in_domain,MLP,NumAromaticRings,470,0.091831,0.000251,0.185381,True,0.020455,0.088825,False
in_domain,MLP,NumAliphaticRings,470,0.146543,0.058315,0.235252,True,-0.031480,0.152343,False
