regime,model,controls_included,feature,is_control,importance_mean,importance_std,cross_validated_r2,out_of_fold_spearman,trustworthy,molecules
in_domain,Linear,True,MolWt,False,0.035011,0.025020,0.521256,0.583961,True,470
in_domain,Linear,True,MolLogP,False,0.306462,0.101787,0.521256,0.583961,True,470
in_domain,Linear,True,TPSA,False,0.063625,0.048859,0.521256,0.583961,True,470
in_domain,Linear,True,NumRotatableBonds,False,-0.002998,0.029340,0.521256,0.583961,True,470
in_domain,Linear,True,AromaticAtomFraction,False,0.022667,0.005392,0.521256,0.583961,True,470
in_domain,Linear,True,HeavyAtomCount,False,0.035788,0.013237,0.521256,0.583961,True,470
in_domain,Linear,True,NumRings,False,0.000166,0.002457,0.521256,0.583961,True,470
in_domain,Linear,True,NumAromaticRings,False,0.007316,0.005254,0.521256,0.583961,True,470
in_domain,Linear,True,NumAliphaticRings,False,-0.000154,0.001245,0.521256,0.583961,True,470
in_domain,Linear,True,NumHeteroatoms,False,0.295339,0.086315,0.521256,0.583961,True,470
in_domain,Linear,True,FractionCSP3,False,0.039453,0.018968,0.521256,0.583961,True,470
in_domain,Linear,True,NumHDonors,False,0.007358,0.009380,0.521256,0.583961,True,470
in_domain,Linear,True,NumHAcceptors,False,0.001007,0.000823,0.521256,0.583961,True,470
in_domain,Linear,True,baseline_absolute_error,True,0.782502,0.167361,0.521256,0.583961,True,470
in_domain,Linear,True,nearest_train_similarity,True,0.010179,0.022854,0.521256,0.583961,True,470
in_domain,MLP,True,MolWt,False,0.010602,0.007250,0.240514,0.425308,True,470
in_domain,MLP,True,MolLogP,False,0.275713,0.100102,0.240514,0.425308,True,470
in_domain,MLP,True,TPSA,False,0.092544,0.054395,0.240514,0.425308,True,470
in_domain,MLP,True,NumRotatableBonds,False,0.033621,0.030467,0.240514,0.425308,True,470
in_domain,MLP,True,AromaticAtomFraction,False,0.057536,0.059593,0.240514,0.425308,True,470
in_domain,MLP,True,HeavyAtomCount,False,0.027687,0.016985,0.240514,0.425308,True,470
in_domain,MLP,True,NumRings,False,-0.000224,0.003740,0.240514,0.425308,True,470
in_domain,MLP,True,NumAromaticRings,False,0.014896,0.010321,0.240514,0.425308,True,470
in_domain,MLP,True,NumAliphaticRings,False,0.009302,0.005462,0.240514,0.425308,True,470
in_domain,MLP,True,NumHeteroatoms,False,0.017599,0.019612,0.240514,0.425308,True,470
in_domain,MLP,True,FractionCSP3,False,0.063959,0.066218,0.240514,0.425308,True,470
in_domain,MLP,True,NumHDonors,False,-0.002630,0.006072,0.240514,0.425308,True,470
in_domain,MLP,True,NumHAcceptors,False,-0.004705,0.014705,0.240514,0.425308,True,470
in_domain,MLP,True,baseline_absolute_error,True,0.498762,0.107467,0.240514,0.425308,True,470
in_domain,MLP,True,nearest_train_similarity,True,0.031692,0.029937,0.240514,0.425308,True,470
in_domain,GCN,True,MolWt,False,0.109582,0.101127,0.088409,0.317885,True,470
in_domain,GCN,True,MolLogP,False,0.029317,0.039824,0.088409,0.317885,True,470
in_domain,GCN,True,TPSA,False,-0.000246,0.045601,0.088409,0.317885,True,470
in_domain,GCN,True,NumRotatableBonds,False,-0.007047,0.030625,0.088409,0.317885,True,470
in_domain,GCN,True,AromaticAtomFraction,False,0.001968,0.017749,0.088409,0.317885,True,470
in_domain,GCN,True,HeavyAtomCount,False,0.009618,0.042927,0.088409,0.317885,True,470
in_domain,GCN,True,NumRings,False,0.003353,0.010488,0.088409,0.317885,True,470
in_domain,GCN,True,NumAromaticRings,False,0.004702,0.013054,0.088409,0.317885,True,470
in_domain,GCN,True,NumAliphaticRings,False,0.007972,0.013476,0.088409,0.317885,True,470
in_domain,GCN,True,NumHeteroatoms,False,-0.005097,0.022304,0.088409,0.317885,True,470
in_domain,GCN,True,FractionCSP3,False,-0.004661,0.004980,0.088409,0.317885,True,470
in_domain,GCN,True,NumHDonors,False,0.010482,0.019903,0.088409,0.317885,True,470
in_domain,GCN,True,NumHAcceptors,False,-0.002366,0.011826,0.088409,0.317885,True,470
in_domain,GCN,True,baseline_absolute_error,True,0.165597,0.109115,0.088409,0.317885,True,470
in_domain,GCN,True,nearest_train_similarity,True,0.064201,0.039021,0.088409,0.317885,True,470
in_domain,GIN,True,MolWt,False,0.153231,0.089038,0.125624,0.373533,True,470
in_domain,GIN,True,MolLogP,False,0.022276,0.029738,0.125624,0.373533,True,470
in_domain,GIN,True,TPSA,False,0.051376,0.028804,0.125624,0.373533,True,470
in_domain,GIN,True,NumRotatableBonds,False,0.013177,0.016084,0.125624,0.373533,True,470
in_domain,GIN,True,AromaticAtomFraction,False,0.011915,0.039201,0.125624,0.373533,True,470
in_domain,GIN,True,HeavyAtomCount,False,0.023817,0.010711,0.125624,0.373533,True,470
in_domain,GIN,True,NumRings,False,0.001176,0.013677,0.125624,0.373533,True,470
in_domain,GIN,True,NumAromaticRings,False,-0.005542,0.012238,0.125624,0.373533,True,470
in_domain,GIN,True,NumAliphaticRings,False,0.013762,0.004766,0.125624,0.373533,True,470
in_domain,GIN,True,NumHeteroatoms,False,0.009778,0.021368,0.125624,0.373533,True,470
in_domain,GIN,True,FractionCSP3,False,0.018541,0.023523,0.125624,0.373533,True,470
in_domain,GIN,True,NumHDonors,False,0.010275,0.009819,0.125624,0.373533,True,470
in_domain,GIN,True,NumHAcceptors,False,0.010188,0.019724,0.125624,0.373533,True,470
in_domain,GIN,True,baseline_absolute_error,True,0.133882,0.032415,0.125624,0.373533,True,470
in_domain,GIN,True,nearest_train_similarity,True,0.122952,0.063040,0.125624,0.373533,True,470
out_of_scaffold,Linear,True,MolWt,False,0.051834,0.030959,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,MolLogP,False,0.615034,0.244858,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,TPSA,False,0.014246,0.055052,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,NumRotatableBonds,False,0.011152,0.016232,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,AromaticAtomFraction,False,0.102413,0.146979,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,HeavyAtomCount,False,0.001505,0.009340,0.333283,0.594439,True,413
out_of_scaffold,Linear,True,NumRings,False,0.005477,0.006037,0.333283,0.594439,True,413
