property,median,q25,q75,minimum,maximum
MolWt,210.259000,133.111750,293.499000,16.043000,780.949000
MolLogP,2.512350,1.520500,3.602300,-7.571400,9.887600
TPSA,29.280000,0.000000,60.502500,0.000000,268.680000
NumRotatableBonds,1.000000,0.000000,3.000000,0.000000,17.000000
AromaticAtomFraction,0.428571,0.000000,0.693144,0.000000,1.000000
HeavyAtomCount,14.000000,9.000000,19.000000,1.000000,55.000000
NumRings,2.000000,1.000000,2.000000,0.000000,8.000000
NumAromaticRings,1.000000,0.000000,2.000000,0.000000,7.000000
NumAliphaticRings,0.000000,0.000000,1.000000,0.000000,8.000000
NumHeteroatoms,3.000000,1.000000,6.000000,0.000000,16.000000
FractionCSP3,0.307692,0.066667,0.750000,0.000000,1.000000
NumHDonors,0.000000,0.000000,1.000000,0.000000,11.000000
NumHAcceptors,2.000000,0.000000,4.000000,0.000000,16.000000
