regime,model,scaffold,molecules,dataset_molecules,mean_absolute_error,baseline_mean_absolute_error,normalized_mean_absolute_error,mean_residual
in_domain,Dummy (mean),c1ccccc1,102,254.000000,1.151362,1.151362,1.000000,-0.174753
in_domain,Dummy (mean),,140,317.000000,1.851878,1.851878,1.000000,-1.116686
in_domain,Dummy (mean),c1ccncc1,6,14.000000,3.285800,3.285800,1.000000,-2.413650
in_domain,Dummy (mean),c1ccc(-c2ccccc2)cc1,12,39.000000,3.655479,3.655479,1.000000,3.596763
in_domain,Dummy (mean),c1ccoc1,3,3.000000,2.020067,2.020067,1.000000,-2.020067
in_domain,Dummy (mean),O=C1C=C2CCC3C4CCCC4CCC3C2CC1,8,17.000000,1.266644,1.266644,1.000000,1.266644
in_domain,Dummy (mean),C1CCCC1,3,4.000000,1.658533,1.658533,1.000000,1.658533
in_domain,Dummy (mean),O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,4,7.000000,4.671163,4.671163,1.000000,4.671162
in_domain,Dummy (mean),c1ccc2ccccc2c1,10,22.000000,1.055905,1.055905,1.000000,1.055905
in_domain,Dummy (mean),O=C1C=CCCC1,3,3.000000,1.735333,1.735333,1.000000,-1.735333
in_domain,Dummy (mean),C1CCOCC1,3,3.000000,3.415217,3.415217,1.000000,-3.415217
in_domain,Dummy (mean),O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,6,8.000000,2.039975,2.039975,1.000000,2.039975
in_domain,Dummy (mean),c1ccc2cc3ccccc3cc2c1,3,6.000000,2.951589,2.951589,1.000000,2.951589
in_domain,Dummy (mean),O=C1CC(=O)NC(=O)N1,9,21.000000,0.924806,0.924806,1.000000,-0.924806
in_domain,Dummy (mean),C1CCCCC1,5,10.000000,1.190220,1.190220,1.000000,-0.368620
in_domain,Dummy (mean),O=c1[nH]c(=O)c2[nH]cnc2[nH]1,3,4.000000,1.862933,1.862933,1.000000,-1.862933
in_domain,Dummy (mean),c1ncncn1,6,16.000000,0.617075,0.617075,1.000000,0.573542
in_domain,Dummy (mean),c1ccc(Cc2ccccc2)cc1,3,12.000000,2.563817,2.563817,1.000000,2.502883
in_domain,Dummy (mean),c1cnc2ncncc2n1,3,9.000000,2.144500,2.144500,1.000000,-2.144500
in_domain,Dummy (mean),O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,6,9.000000,0.791300,0.791300,1.000000,0.791300
in_domain,Dummy (mean),O=c1nccc[nH]1,3,3.000000,1.863600,1.863600,1.000000,-1.863600
in_domain,Linear,c1ncncn1,6,16.000000,0.960683,0.617075,1.556834,0.954917
in_domain,Linear,C1CCCC1,3,4.000000,1.982817,1.658533,1.195524,1.982817
in_domain,Linear,C1CCCCC1,5,10.000000,1.142940,1.190220,0.960276,1.093420
in_domain,Linear,O=C1C=CCCC1,3,3.000000,1.255200,1.735333,0.723319,-1.255200
in_domain,Linear,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,3,4.000000,1.056833,1.862933,0.567295,1.056833
in_domain,Linear,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,8,17.000000,0.714662,1.266644,0.564217,-0.454863
in_domain,Linear,c1ccc2cc3ccccc3cc2c1,3,6.000000,1.627533,2.951589,0.551409,1.627533
in_domain,Linear,c1ccncc1,6,14.000000,1.777292,3.285800,0.540901,-1.758592
in_domain,Linear,c1ccccc1,102,254.000000,0.622549,1.151362,0.540706,-0.244877
in_domain,Linear,c1ccc2ccccc2c1,10,22.000000,0.557075,1.055905,0.527581,0.444835
in_domain,Linear,O=C1CC(=O)NC(=O)N1,9,21.000000,0.474983,0.924806,0.513603,0.418117
in_domain,Linear,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,6,9.000000,0.332394,0.791300,0.420061,0.091428
in_domain,Linear,,140,317.000000,0.750774,1.851878,0.405412,0.007561
in_domain,Linear,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,6,8.000000,0.824875,2.039975,0.404355,0.824875
in_domain,Linear,c1ccoc1,3,3.000000,0.752233,2.020067,0.372380,-0.616967
in_domain,Linear,O=c1nccc[nH]1,3,3.000000,0.607233,1.863600,0.325839,0.607233
in_domain,Linear,c1cnc2ncncc2n1,3,9.000000,0.610867,2.144500,0.284853,-0.610867
in_domain,Linear,C1CCOCC1,3,3.000000,0.897917,3.415217,0.262916,0.182850
in_domain,Linear,c1ccc(Cc2ccccc2)cc1,3,12.000000,0.478733,2.563817,0.186727,0.069133
in_domain,Linear,c1ccc(-c2ccccc2)cc1,12,39.000000,0.566717,3.655479,0.155032,0.265108
in_domain,Linear,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,4,7.000000,0.525900,4.671163,0.112584,0.175000
in_domain,MLP,c1ncncn1,6,16.000000,1.051033,0.617075,1.703251,0.959467
in_domain,MLP,C1CCCC1,3,4.000000,1.155983,1.658533,0.696991,1.155983
in_domain,MLP,O=C1C=CCCC1,3,3.000000,0.984867,1.735333,0.567537,-0.984867
in_domain,MLP,C1CCCCC1,5,10.000000,0.584840,1.190220,0.491371,0.286000
in_domain,MLP,c1ccccc1,102,254.000000,0.557090,1.151362,0.483853,-0.046704
in_domain,MLP,O=C1CC(=O)NC(=O)N1,9,21.000000,0.400156,0.924806,0.432692,0.400156
in_domain,MLP,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,6,8.000000,0.859183,2.039975,0.421173,0.859183
in_domain,MLP,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,6,9.000000,0.316944,0.791300,0.400536,0.104161
in_domain,MLP,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,3,4.000000,0.719056,1.862933,0.385980,0.056656
