regime,model,molecules,slope,intercept,prediction_std_ratio,mean_residual,residual_actual_spearman,low_solubility_bias,high_solubility_bias
in_domain,Dummy (mean),470,-0.000477,-3.053443,0.007203,-0.007522,-0.999948,2.870647,-2.572119
in_domain,Linear,470,0.760528,-0.674693,0.854087,0.054372,-0.513303,0.761174,-0.597633
in_domain,MLP,470,0.860249,-0.365243,0.917548,0.060226,-0.410032,0.500910,-0.318324
in_domain,GCN,470,0.820391,-0.510517,0.932153,0.036298,-0.440205,0.625214,-0.449702
in_domain,GIN,470,0.867119,-0.382200,0.914133,0.022353,-0.401297,0.427821,-0.263323
out_of_scaffold,Dummy (mean),413,-0.012038,-2.903603,0.037889,1.176853,-0.999044,3.958674,-1.332349
out_of_scaffold,Linear,413,0.878740,-0.211202,1.016671,0.277710,-0.243604,0.580258,0.096367
out_of_scaffold,MLP,413,0.926539,-0.198020,1.016859,0.098168,-0.181558,0.196828,-0.090465
out_of_scaffold,GCN,413,0.687277,-1.046778,0.825862,0.214097,-0.526604,1.031938,-0.471089
out_of_scaffold,GIN,413,0.738204,-0.921322,0.856243,0.134218,-0.487214,0.860517,-0.399075
